antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"market_segment=Corporate, reserved_room_type=A",distribution_channel=Corporate,0.040055700492412485,0.05579276732461475,0.03614659966948804,0.9024083769633509,16.174289612001818,1.0,0.03391178129189042,9.675084841255295,0.9773207497201367,0.6054517352817198,0.8966417332346354,0.7751404386696171
distribution_channel=Corporate,"market_segment=Corporate, reserved_room_type=A",0.05579276732461475,0.040055700492412485,0.03614659966948804,0.6478725003758834,16.174289612001818,1.0,0.03391178129189042,2.7261270435631793,0.9936097183094417,0.6054517352817198,0.633179237790418,0.7751404386696171
"adr_bucket=A5, distribution_channel=Direct",market_segment=Direct,0.033462238589368254,0.10554572221895998,0.03258143260995395,0.9736776134369517,9.225173630599711,1.0,0.029049636470975925,33.98074394351028,0.9224688282712105,0.30614014345392926,0.9705715683664136,0.6411862872462138
"customer_type=Transient, distribution_channel=Direct",market_segment=Direct,0.1033143470711104,0.10554572221895998,0.09263562314925887,0.8966385189996753,8.495261580943593,1.0,0.08173123577205824,8.653651912923248,0.9839427206838035,0.7970407795019848,0.8844418506703958,0.8871604612165758
market_segment=Direct,"customer_type=Transient, distribution_channel=Direct",0.10554572221895998,0.1033143470711104,0.09263562314925887,0.8776824034334764,8.495261580943593,1.0,0.08173123577205824,7.33079849587478,0.9863973406553105,0.7970407795019848,0.8635892119306342,0.8871604612165758
"distribution_channel=Direct, hotel=City Hotel",market_segment=Direct,0.056614852905401435,0.10554572221895998,0.05056665184675654,0.8931693584234702,8.462392787180374,1.0,0.04459119630853576,8.37263789284916,0.9347508974952504,0.45313087273547326,0.8805633286907019,0.6861332406487086
"distribution_channel=Direct, meal=BB",market_segment=Direct,0.10146046020015267,0.10554572221895998,0.08860908152907918,0.8733360892930963,8.274481153118797,1.0,0.07790036398058602,7.061634784439734,0.9784171558741941,0.7484058381748616,0.8583897311988588,0.8564343775030097
market_segment=Direct,"distribution_channel=Direct, meal=BB",0.10554572221895998,0.10146046020015267,0.08860908152907918,0.8395326657129232,8.274481153118797,1.0,0.07790036398058602,5.599516834948824,0.982885903517012,0.7484058381748616,0.8214131630503189,0.8564343775030097
"distribution_channel=Direct, lead_time_bucket=1-30",market_segment=Direct,0.04437584410573027,0.10554572221895998,0.03873029720910334,0.8727788279773158,8.269201343534242,1.0,0.03404661669388806,7.03070301554488,0.9198902431393106,0.3483213881554131,0.8577667129746483,0.6198658088384433
market_segment=Direct,"deposit_type=No Deposit, distribution_channel=Direct",0.10554572221895998,0.11839710089003347,0.10260131365920358,0.9721030042918454,8.210530468940528,1.0,0.09010500613713393,31.60207315271097,0.9818335175181351,0.8455582440373315,0.9683565063859043,0.9193446862184748
"deposit_type=No Deposit, distribution_channel=Direct",market_segment=Direct,0.11839710089003347,0.10554572221895998,0.10260131365920358,0.8665863681451041,8.210530468940528,1.0,0.09010500613713393,6.704369451195751,0.9961459867016146,0.8455582440373315,0.8508435420691731,0.9193446862184748
"distribution_channel=Direct, is_canceled=0",market_segment=Direct,0.1011249150651377,0.10554572221895998,0.0867384174013707,0.8577353795105765,8.126671185509165,1.0,0.07606511520648976,6.287257328659148,0.9756065124223857,0.723228649367,0.8409481356136468,0.8397721564537464
market_segment=Direct,"distribution_channel=Direct, is_canceled=0",0.10554572221895998,0.1011249150651377,0.0867384174013707,0.8218089333969162,8.126671185509165,1.0,0.07606511520648976,5.044445280397161,0.9804284114915389,0.723228649367,0.801762147388926,0.8397721564537464
